,Commodity,CommodityType,YearType,Year,Beginning stocks,Domestic,Ending stocks,Exports,Farm price,Feed & residual,"Food, seed, & industrial",Harvested acres,Imports,Loan rate,Planted acres,Production,Returns over variable costs (net returns),"Stocks/use ratio, percent",Supply total,Total use/disposition,Variable cost of production (per acre),Variable cost of production (per bushel),Yield/harvested acre,"Beef cattle, farm",Beef cow inventory,"Calves, farm",Cattle inventory,Commercial production,"Feeder steers, Okla. City","Production, farm","Steers, 5-area, all grades",Total cow inventory,Total disappearance,Total production,"Broilers, farm",Disappearance,Federally inspected slaughter,National composite price,Ethanol for fuel,Commercial use: Milkfat basis,Commercial use: Skim solids,Milk per cow,Milk production,Number of cows,Prices: All milk,"Eggs, farm",Hatching use,"New York, Grade A large",Per capita,Retail weight: Broilers,Retail weight: Lamb & mutton,Retail weight: Other chicken,Retail weight: Red meat & poultry,Retail weight: Total beef,Retail weight: Total pork,Retail weight: Total poultry,Retail weight: Total red meat,Retail weight: Total veal,Retail weight: Turkeys,"Hog, inventory Dec.1, previous year","Hogs, farm","National base, live eqv","Milling rate, percent",Variable cost of production (per cwt.),Crushing yields,Prices,Total demand,"Soybean oil, for methyl ester",Crush,Crush margin,Seed & residual,"Hen turkeys, National","Turkey, farm",Variable cost of production (per pound),Food,Seed
13,Beef,Livestock/Dairy,Calendar year,2018/19,649.0,,685.0,3164.0,,,,,3027.0,,,,,,30683.0,,,,,115.32,31723.0,170.36,94399.0,26944.0,148.2,63.0,116.29,41123.0,26834.0,27007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Beef,Livestock/Dairy,Calendar year,2019/20,685.0,,690.0,3245.0,,,,,3100.0,,,,,,31758.0,,,,,116.8,31890.0,168.43,95000.0,27910.0,146.5,63.0,117.75,41300.0,27823.0,27973.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Beef,Livestock/Dairy,Calendar year,2020/21,690.0,,625.0,3283.0,,,,,3113.0,,,,,,32390.0,,,,,113.19,31980.0,163.88,95200.0,28523.52125,142.54,63.0,114.11,41396.0,28482.0,28587.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Beef,Livestock/Dairy,Calendar year,2021/22,625.0,,625.0,3342.0,,,,,3169.0,,,,,,32405.0,,,,,110.09,32001.0,154.19,94801.0,28548.24896,134.11,63.0,110.98,41424.0,28438.0,28611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Beef,Livestock/Dairy,Calendar year,2022/23,625.0,,625.0,3322.0,,,,,3150.0,,,,,,32413.0,,,,,108.55,31892.0,147.34,94040.0,28574.90076,128.15,63.0,109.43,41322.0,28466.0,28638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Beef,Livestock/Dairy,Calendar year,2023/24,625.0,,625.0,3329.0,,,,,3157.0,,,,,,32645.0,,,,,106.99,31718.0,143.02,93690.0,28800.16922,124.39,63.0,107.86,41153.0,28691.0,28863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Beef,Livestock/Dairy,Calendar year,2024/25,625.0,,625.0,3323.0,,,,,3151.0,,,,,,32872.0,,,,,104.56,31534.0,139.84,93326.0,29033.19029,121.62,63.0,105.41,40971.0,28924.0,29096.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Beef,Livestock/Dairy,Calendar year,2025/26,625.0,,625.0,3354.0,,,,,3181.0,,,,,,33077.0,,,,,101.78,31434.0,139.45,93028.0,29208.43881,121.28,63.0,102.61,40880.0,29098.0,29271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Beef,Livestock/Dairy,Calendar year,2026/27,625.0,,625.0,3364.0,,,,,3190.0,,,,,,33270.0,,,,,100.24,31538.0,138.15,92963.0,29391.89974,120.15,63.0,101.06,40992.0,29281.0,29455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Beef,Livestock/Dairy,Calendar year,2027/28,625.0,,625.0,3385.0,,,,,3210.0,,,,,,33418.0,,,,,99.4,31817.0,139.33,93266.0,29519.66811,121.18,63.0,100.21,41276.0,29408.0,29583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Beef,Livestock/Dairy,Calendar year,2028/29,625.0,,625.0,3410.0,,,,,3220.0,,,,,,33546.0,,,,,98.45,31917.0,139.3,91018.0,29638.31089,121.15,63.0,99.25,41382.0,29511.0,29701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chicken,Livestock/Dairy,Calendar year,2017/18,778.0,,856.0,6791.0,,,,,,,,41217.0,,,42121.0,,,,,,,,,,,,,,,,54.6,34474.0,41662.0,93.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Chicken,Livestock/Dairy,Calendar year,2018/19,856.0,,885.0,6869.0,,,,,,,,42115.0,,,43106.0,,,,,,,,,,,,,,,,57.0,35352.0,42570.0,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Chicken,Livestock/Dairy,Calendar year,2019/20,885.0,,870.0,7045.0,,,,,,,,42906.0,,,43928.0,,,,,,,,,,,,,,,,60.74,36013.0,43370.0,95.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Chicken,Livestock/Dairy,Calendar year,2020/21,870.0,,870.0,7150.0,,,,,,,,43412.0,,,44421.0,,,,,,,,,,,,,,,,55.5,36401.0,43882.0,92.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Chicken,Livestock/Dairy,Calendar year,2021/22,870.0,,870.0,7250.0,,,,,,,,43944.0,,,44955.0,,,,,,,,,,,,,,,,54.2,36835.0,44420.0,90.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Chicken,Livestock/Dairy,Calendar year,2022/23,870.0,,870.0,7350.0,,,,,,,,44360.0,,,45373.0,,,,,,,,,,,,,,,,54.4,37153.0,44840.0,90.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Chicken,Livestock/Dairy,Calendar year,2023/24,870.0,,870.0,7450.0,,,,,,,,44760.0,,,45775.0,,,,,,,,,,,,,,,,54.0,37455.0,45244.0,89.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Chicken,Livestock/Dairy,Calendar year,2024/25,870.0,,870.0,7550.0,,,,,,,,45254.0,,,46271.0,,,,,,,,,,,,,,,,53.4,37851.0,45744.0,89.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Chicken,Livestock/Dairy,Calendar year,2025/26,870.0,,870.0,7600.0,,,,,,,,45663.0,,,46682.0,,,,,,,,,,,,,,,,53.0,38212.0,46157.0,88.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Chicken,Livestock/Dairy,Calendar year,2026/27,870.0,,870.0,7625.0,,,,,,,,45986.0,,,47007.0,,,,,,,,,,,,,,,,52.9,38512.0,46484.0,88.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Chicken,Livestock/Dairy,Calendar year,2027/28,870.0,,870.0,7650.0,,,,,,,,46180.0,,,47203.0,,,,,,,,,,,,,,,,53.2,38683.0,46680.0,88.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Chicken,Livestock/Dairy,Calendar year,2028/29,870.0,,870.0,7675.0,,,,,,,,46369.0,,,47394.0,,,,,,,,,,,,,,,,53.4,38849.0,46870.0,89.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Corn,Crops,Market year,2017/18,2293.0,12355.0,2140.0,2438.0,3.36,5302.0,7054.0,82.7,36.0,1.95,90.2,14604.0,256.0,14.5,16934.0,14793.0,337.0,1.91,176.6,,,,,,,,,,,,,,,,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Corn,Crops,Market year,2018/19,2140.0,12680.0,1813.0,2475.0,3.5,5550.0,7130.0,81.8,50.0,1.95,89.1,14778.0,291.0,12.0,16968.0,15155.0,341.0,1.89,180.7,,,,,,,,,,,,,,,,5650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Corn,Crops,Market year,2019/20,1813.0,12765.0,1603.0,2425.0,3.9,5575.0,7190.0,84.6,50.0,1.95,92.0,14930.0,344.0,10.6,16793.0,15190.0,344.0,1.95,176.5,,,,,,,,,,,,,,,,5700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Corn,Crops,Market year,2020/21,1603.0,12865.0,1618.0,2450.0,3.95,5650.0,7215.0,85.6,50.0,1.95,93.0,15280.0,358.0,10.6,16933.0,15315.0,347.0,1.94,178.5,,,,,,,,,,,,,,,,5725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Corn,Crops,Market year,2021/22,1618.0,12990.0,1653.0,2475.0,4.0,5775.0,7215.0,85.6,50.0,1.95,93.0,15450.0,371.0,10.7,17118.0,15465.0,351.0,1.94,180.5,,,,,,,,,,,,,,,,5725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Corn,Crops,Market year,2022/23,1653.0,13145.0,1678.0,2500.0,4.1,5950.0,7195.0,85.6,50.0,1.95,93.0,15620.0,392.0,10.7,17323.0,15645.0,356.0,1.95,182.5,,,,,,,,,,,,,,,,5700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Corn,Crops,Market year,2023/24,1678.0,13245.0,1753.0,2525.0,3.95,6075.0,7170.0,85.6,50.0,1.95,93.0,15795.0,369.0,11.1,17523.0,15770.0,360.0,1.95,184.5,,,,,,,,,,,,,,,,5675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Corn,Crops,Market year,2024/25,1753.0,13300.0,1823.0,2550.0,3.8,6175.0,7125.0,85.1,50.0,1.95,92.5,15870.0,344.0,11.5,17673.0,15850.0,365.0,1.96,186.5,,,,,,,,,,,,,,,,5625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Corn,Crops,Market year,2025/26,1823.0,13425.0,1888.0,2600.0,3.8,6325.0,7100.0,85.1,50.0,1.95,92.5,16040.0,348.0,11.8,17913.0,16025.0,369.0,1.96,188.5,,,,,,,,,,,,,,,,5600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Corn,Crops,Market year,2026/27,1888.0,13505.0,1993.0,2650.0,3.7,6450.0,7055.0,85.1,50.0,1.95,92.5,16210.0,334.0,12.3,18148.0,16155.0,371.0,1.95,190.5,,,,,,,,,,,,,,,,5550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Corn,Crops,Market year,2027/28,1993.0,13605.0,2023.0,2700.0,3.7,6600.0,7005.0,84.6,50.0,1.95,92.0,16285.0,337.0,12.4,18328.0,16305.0,375.0,1.95,192.5,,,,,,,,,,,,,,,,5500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Corn,Crops,Market year,2028/29,2023.0,13630.0,2048.0,2750.0,3.7,6675.0,6955.0,84.1,50.0,1.95,91.5,16355.0,341.0,12.5,18428.0,16380.0,379.0,1.95,194.5,,,,,,,,,,,,,,,,5450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Dairy,Livestock/Dairy,Market year,2017/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.5,177.6,22941.38682,215.5,9392.0,17.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Dairy,Livestock/Dairy,Market year,2018/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.9,178.6,23200.0,218.1,9400.0,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Dairy,Livestock/Dairy,Market year,2019/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.5,181.6,23525.0,221.4,9410.0,17.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Dairy,Livestock/Dairy,Market year,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.2,184.2,23930.0,225.3,9415.0,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Dairy,Livestock/Dairy,Market year,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.4,185.9,24175.0,227.8,9425.0,17.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Dairy,Livestock/Dairy,Market year,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.2,187.7,24495.0,231.0,9430.0,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Dairy,Livestock/Dairy,Market year,2023/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.4,189.8,24815.0,234.1,9435.0,18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Dairy,Livestock/Dairy,Market year,2024/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.9,192.2,25210.0,238.0,9440.0,18.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Dairy,Livestock/Dairy,Market year,2025/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.4,193.9,25475.0,240.6,9445.0,18.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Dairy,Livestock/Dairy,Market year,2026/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.1,195.9825787,25805.0,244.0,9455.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dairy,Livestock/Dairy,Market year,2027/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.3,197.9,26130.0,247.2,9460.0,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Dairy,Livestock/Dairy,Market year,2028/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.7,200.5,26530.0,251.1,9465.0,19.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Egg,Livestock/Dairy,Calendar year,2017/18,142.0,,88.0,355.0,,,,,34.2,,,8808.0,,,8984.0,,,,,,,,,,,,,,,,,7507.0,,,,,,,,,,86.6,1035.0,100.9,277.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Egg,Livestock/Dairy,Calendar year,2018/19,88.0,,75.0,336.0,,,,,22.1,,,9001.0,,,9111.0,,,,,,,,,,,,,,,,,7639.0,,,,,,,,,,117.5,1060.0,141.2,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Egg,Livestock/Dairy,Calendar year,2019/20,75.0,,80.0,340.0,,,,,27.0,,,9140.0,,,9242.0,,,,,,,,,,,,,,,,,7737.0,,,,,,,,,,121.65,1085.0,123.8,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Egg,Livestock/Dairy,Calendar year,2020/21,80.0,,80.0,343.0,,,,,27.0,,,9277.0,,,9384.0,,,,,,,,,,,,,,,,,7865.0,,,,,,,,,,98.98,1096.0,101.0,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Egg,Livestock/Dairy,Calendar year,2021/22,80.0,,80.0,346.0,,,,,27.0,,,9398.0,,,9505.0,,,,,,,,,,,,,,,,,7973.0,,,,,,,,,,100.94,1106.0,103.0,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Egg,Livestock/Dairy,Calendar year,2022/23,80.0,,80.0,349.0,,,,,27.0,,,9510.0,,,9617.0,,,,,,,,,,,,,,,,,8074.0,,,,,,,,,,101.92,1114.0,104.0,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Egg,Livestock/Dairy,Calendar year,2023/24,80.0,,80.0,352.0,,,,,27.0,,,9625.0,,,9732.0,,,,,,,,,,,,,,,,,8178.0,,,,,,,,,,102.9,1121.0,105.0,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Egg,Livestock/Dairy,Calendar year,2024/25,80.0,,80.0,355.0,,,,,27.0,,,9740.0,,,9847.0,,,,,,,,,,,,,,,,,8282.0,,,,,,,,,,102.9,1129.0,105.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Egg,Livestock/Dairy,Calendar year,2025/26,80.0,,80.0,358.0,,,,,27.0,,,9857.0,,,9964.0,,,,,,,,,,,,,,,,,8388.0,,,,,,,,,,102.9,1137.0,105.0,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Egg,Livestock/Dairy,Calendar year,2026/27,80.0,,80.0,361.0,,,,,27.0,,,9975.0,,,10082.0,,,,,,,,,,,,,,,,,8497.0,,,,,,,,,,103.88,1144.0,106.0,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Egg,Livestock/Dairy,Calendar year,2027/28,80.0,,80.0,364.0,,,,,27.0,,,10095.0,,,10202.0,,,,,,,,,,,,,,,,,8610.0,,,,,,,,,,104.86,1148.0,107.0,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Egg,Livestock/Dairy,Calendar year,2028/29,80.0,,80.0,367.0,,,,,27.0,,,10211.0,,,10318.0,,,,,,,,,,,,,,,,,8719.0,,,,,,,,,,105.84,1151.0,108.0,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Oats,Crops,Market year,2017/18,50.0,146.0,41.0,2.0,2.59,68.0,78.0,0.8,89.0,1.39,2.6,49.0,36.0,27.7,189.0,148.0,124.0,2.02,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Oats,Crops,Market year,2018/19,41.0,154.0,36.0,2.0,2.7,75.0,79.0,0.865,95.0,1.39,2.7,56.0,49.0,23.1,192.0,156.0,126.0,1.95,64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Oats,Crops,Market year,2019/20,36.0,159.0,36.0,2.0,2.9,80.0,79.0,1.0,95.0,1.39,2.8,66.0,48.0,22.4,197.0,161.0,128.0,1.94,66.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Oats,Crops,Market year,2020/21,36.0,160.0,36.0,2.0,2.95,80.0,80.0,1.0,95.0,1.39,2.8,67.0,44.0,22.2,198.0,162.0,129.0,1.93,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Oats,Crops,Market year,2021/22,36.0,160.0,36.0,2.0,2.95,80.0,80.0,1.0,95.0,1.39,2.8,67.0,47.0,22.2,198.0,162.0,131.0,1.96,67.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Oats,Crops,Market year,2022/23,36.0,161.0,35.0,2.0,3.05,80.0,81.0,1.0,95.0,1.39,2.7,67.4,45.0,21.5,198.0,163.0,134.0,1.99,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Oats,Crops,Market year,2023/24,35.0,161.0,28.0,2.0,3.05,80.0,81.0,0.9,95.0,1.39,2.6,61.0,47.0,17.2,191.0,163.0,136.0,2.01,67.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Oats,Crops,Market year,2024/25,28.0,157.0,25.0,2.0,3.0,75.0,82.0,0.9,95.0,1.39,2.6,61.0,49.0,15.7,184.0,159.0,138.0,2.04,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Oats,Crops,Market year,2025/26,25.0,157.0,23.0,2.0,3.05,75.0,82.0,0.9,95.0,1.39,2.5,62.0,52.0,14.5,182.0,159.0,140.0,2.03,68.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Oats,Crops,Market year,2026/27,23.0,153.0,25.0,2.0,2.95,70.0,83.0,0.9,95.0,1.39,2.5,62.0,55.0,16.1,180.0,155.0,141.0,2.05,68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Oats,Crops,Market year,2027/28,25.0,158.0,22.0,2.0,3.0,75.0,83.0,0.9,95.0,1.39,2.5,62.0,57.0,13.8,182.0,160.0,143.0,2.08,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Oats,Crops,Market year,2028/29,22.0,154.0,23.0,2.0,3.0,70.0,84.0,0.9,95.0,1.39,2.5,62.0,60.0,14.7,179.0,156.0,145.0,2.1,69.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2017/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.9,1.1,1.3,217.0,57.0,50.1,108.6,108.4,0.2,16.4,,,,,,,,,,,,,,,,,
85,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2018/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.4,1.1,1.4,219.3,57.2,50.8,110.0,109.3,0.2,16.2,,,,,,,,,,,,,,,,,
86,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2019/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4,1.1,1.3,224.3,58.8,53.1,111.1,113.2,0.2,16.4,,,,,,,,,,,,,,,,,
87,"Per capita meat consumption, retail weight",Livestock/Dairy,Calendar year,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7,1.1,1.3,225.6,59.7,53.4,111.2,114.4,0.2,16.2,,,,,,,,,,,,,,,,,
