Attribute,Commodity,CommodityType,Units,YearType,Year,Value
Feed & residual,Barley,Crops,Million bushels,Market year,2018/19,15
Feed & residual,Barley,Crops,Million bushels,Market year,2019/20,20
Feed & residual,Barley,Crops,Million bushels,Market year,2020/21,25
Feed & residual,Barley,Crops,Million bushels,Market year,2021/22,30
Feed & residual,Barley,Crops,Million bushels,Market year,2022/23,30
Feed & residual,Barley,Crops,Million bushels,Market year,2023/24,35
Feed & residual,Barley,Crops,Million bushels,Market year,2024/25,40
Feed & residual,Barley,Crops,Million bushels,Market year,2025/26,45
Feed & residual,Barley,Crops,Million bushels,Market year,2026/27,45
Feed & residual,Barley,Crops,Million bushels,Market year,2027/28,45
Feed & residual,Barley,Crops,Million bushels,Market year,2028/29,50
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2017/18,157
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2018/19,155
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2019/20,155
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2020/21,155
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2021/22,155
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2022/23,155
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2023/24,155
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2024/25,155
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2025/26,155
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2026/27,155
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2027/28,155
"Food, seed, & industrial",Barley,Crops,Million bushels,Market year,2028/29,155
Harvested acres,Barley,Crops,Million acres,Market year,2017/18,2
Harvested acres,Barley,Crops,Million acres,Market year,2018/19,2
Harvested acres,Barley,Crops,Million acres,Market year,2019/20,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2020/21,2.2
Harvested acres,Barley,Crops,Million acres,Market year,2021/22,2.3
Harvested acres,Barley,Crops,Million acres,Market year,2022/23,2.3
Harvested acres,Barley,Crops,Million acres,Market year,2023/24,2.4
Harvested acres,Barley,Crops,Million acres,Market year,2024/25,2.4
Harvested acres,Barley,Crops,Million acres,Market year,2025/26,2.4
Harvested acres,Barley,Crops,Million acres,Market year,2026/27,2.4
Harvested acres,Barley,Crops,Million acres,Market year,2027/28,2.4
Harvested acres,Barley,Crops,Million acres,Market year,2028/29,2.4
Imports,Barley,Crops,Million bushels,Market year,2017/18,9
Imports,Barley,Crops,Million bushels,Market year,2018/19,15
Imports,Barley,Crops,Million bushels,Market year,2019/20,15
Imports,Barley,Crops,Million bushels,Market year,2020/21,15
Imports,Barley,Crops,Million bushels,Market year,2021/22,15
Imports,Barley,Crops,Million bushels,Market year,2022/23,15
Imports,Barley,Crops,Million bushels,Market year,2023/24,15
Imports,Barley,Crops,Million bushels,Market year,2024/25,15
Imports,Barley,Crops,Million bushels,Market year,2025/26,15
Imports,Barley,Crops,Million bushels,Market year,2026/27,15
Imports,Barley,Crops,Million bushels,Market year,2027/28,15
Imports,Barley,Crops,Million bushels,Market year,2028/29,15
Loan rate,Barley,Crops,Dollars per bushel,Market year,2017/18,1.95
Loan rate,Barley,Crops,Dollars per bushel,Market year,2018/19,1.95
Loan rate,Barley,Crops,Dollars per bushel,Market year,2019/20,1.95
Loan rate,Barley,Crops,Dollars per bushel,Market year,2020/21,1.95
Loan rate,Barley,Crops,Dollars per bushel,Market year,2021/22,1.95
Loan rate,Barley,Crops,Dollars per bushel,Market year,2022/23,1.95
Loan rate,Barley,Crops,Dollars per bushel,Market year,2023/24,1.95
Loan rate,Barley,Crops,Dollars per bushel,Market year,2024/25,1.95
Loan rate,Barley,Crops,Dollars per bushel,Market year,2025/26,1.95
Loan rate,Barley,Crops,Dollars per bushel,Market year,2026/27,1.95
Loan rate,Barley,Crops,Dollars per bushel,Market year,2027/28,1.95
Loan rate,Barley,Crops,Dollars per bushel,Market year,2028/29,1.95
Planted acres,Barley,Crops,Million acres,Market year,2017/18,2.5
Planted acres,Barley,Crops,Million acres,Market year,2018/19,2.5
Planted acres,Barley,Crops,Million acres,Market year,2019/20,2.6
Planted acres,Barley,Crops,Million acres,Market year,2020/21,2.6
Planted acres,Barley,Crops,Million acres,Market year,2021/22,2.7
Planted acres,Barley,Crops,Million acres,Market year,2022/23,2.8
Planted acres,Barley,Crops,Million acres,Market year,2023/24,2.9
Planted acres,Barley,Crops,Million acres,Market year,2024/25,2.9
Planted acres,Barley,Crops,Million acres,Market year,2025/26,2.9
Planted acres,Barley,Crops,Million acres,Market year,2026/27,2.9
Planted acres,Barley,Crops,Million acres,Market year,2027/28,2.9
Planted acres,Barley,Crops,Million acres,Market year,2028/29,2.9
Production,Barley,Crops,Million bushels,Market year,2017/18,142
Production,Barley,Crops,Million bushels,Market year,2018/19,153
Production,Barley,Crops,Million bushels,Market year,2019/20,164
Production,Barley,Crops,Million bushels,Market year,2020/21,166
Production,Barley,Crops,Million bushels,Market year,2021/22,175
Production,Barley,Crops,Million bushels,Market year,2022/23,177
Production,Barley,Crops,Million bushels,Market year,2023/24,186
Production,Barley,Crops,Million bushels,Market year,2024/25,188
Production,Barley,Crops,Million bushels,Market year,2025/26,189
Production,Barley,Crops,Million bushels,Market year,2026/27,191
Production,Barley,Crops,Million bushels,Market year,2027/28,193
Production,Barley,Crops,Million bushels,Market year,2028/29,194
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2017/18,153
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2018/19,185
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2019/20,196
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2020/21,198
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2021/22,204
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2022/23,215
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2023/24,207
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2024/25,199
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2025/26,200
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2026/27,196
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2027/28,197
Returns over variable costs (net returns),Barley,Crops,Dollars per acre,Market year,2028/29,198
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2017/18,57.7
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2018/19,50.3
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2019/20,48.4
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2020/21,44.9
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2021/22,43.7
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2022/23,44.8
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2023/24,46.7
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2024/25,47.1
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2025/26,45.4
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2026/27,45.9
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2027/28,47.4
"Stocks/use ratio, percent",Barley,Crops,Percent,Market year,2028/29,45.8
Supply total,Barley,Crops,Million bushels,Market year,2017/18,257
Supply total,Barley,Crops,Million bushels,Market year,2018/19,263
Supply total,Barley,Crops,Million bushels,Market year,2019/20,267
Supply total,Barley,Crops,Million bushels,Market year,2020/21,268
Supply total,Barley,Crops,Million bushels,Market year,2021/22,273
Supply total,Barley,Crops,Million bushels,Market year,2022/23,275
Supply total,Barley,Crops,Million bushels,Market year,2023/24,286
Supply total,Barley,Crops,Million bushels,Market year,2024/25,294
Supply total,Barley,Crops,Million bushels,Market year,2025/26,298
Supply total,Barley,Crops,Million bushels,Market year,2026/27,299
Supply total,Barley,Crops,Million bushels,Market year,2027/28,302
Supply total,Barley,Crops,Million bushels,Market year,2028/29,306
Total use/disposition,Barley,Crops,Million bushels,Market year,2017/18,163
Total use/disposition,Barley,Crops,Million bushels,Market year,2018/19,175
Total use/disposition,Barley,Crops,Million bushels,Market year,2019/20,180
Total use/disposition,Barley,Crops,Million bushels,Market year,2020/21,185
Total use/disposition,Barley,Crops,Million bushels,Market year,2021/22,190
Total use/disposition,Barley,Crops,Million bushels,Market year,2022/23,190
Total use/disposition,Barley,Crops,Million bushels,Market year,2023/24,195
Total use/disposition,Barley,Crops,Million bushels,Market year,2024/25,200
Total use/disposition,Barley,Crops,Million bushels,Market year,2025/26,205
Total use/disposition,Barley,Crops,Million bushels,Market year,2026/27,205
Total use/disposition,Barley,Crops,Million bushels,Market year,2027/28,205
Total use/disposition,Barley,Crops,Million bushels,Market year,2028/29,210
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2017/18,172
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2018/19,175
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2019/20,178
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2020/21,180
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2021/22,182
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2022/23,185
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2023/24,188
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2024/25,191
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2025/26,193
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2026/27,195
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2027/28,198
Variable cost of production (per acre),Barley,Crops,Dollars,Market year,2028/29,200
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2017/18,2.42
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2018/19,2.29
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2019/20,2.39
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2020/21,2.39
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2021/22,2.39
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2022/23,2.4
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2023/24,2.43
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2024/25,2.44
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2025/26,2.45
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2026/27,2.45
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2027/28,2.46
Variable cost of production (per bushel),Barley,Crops,Dollars,Market year,2028/29,2.47
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2017/18,72.6
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2018/19,77.4
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2019/20,74.6
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2020/21,75.3
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2021/22,76.1
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2022/23,76.8
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2023/24,77.5
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2024/25,78.2
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2025/26,78.9
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2026/27,79.6
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2027/28,80.3
Yield/harvested acre,Barley,Crops,Bushels per acre,Market year,2028/29,81
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2017/18,120.17
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2018/19,115.32
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2019/20,116.8
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2020/21,113.19
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2021/22,110.09
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2022/23,108.55
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2023/24,106.99
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2024/25,104.56
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2025/26,101.78
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2026/27,100.24
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2027/28,99.4
"Beef cattle, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2028/29,98.45
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2017/18,31210
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2018/19,31723
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2019/20,31890
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2020/21,31980
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2021/22,32001
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2022/23,31892
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2023/24,31718
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2024/25,31534
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2025/26,31434
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2026/27,31538
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2027/28,31817
Beef cow inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2028/29,31917
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2017/18,757
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2018/19,649
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2019/20,685
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2020/21,690
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2021/22,625
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2022/23,625
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2023/24,625
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2024/25,625
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2025/26,625
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2026/27,625
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2027/28,625
Beginning stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2028/29,625
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2017/18,165.17
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2018/19,170.36
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2019/20,168.43
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2020/21,163.88
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2021/22,154.19
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2022/23,147.34
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2023/24,143.02
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2024/25,139.84
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2025/26,139.45
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2026/27,138.15
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2027/28,139.33
"Calves, farm",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2028/29,139.3
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2017/18,93705
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2018/19,94399
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2019/20,95000
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2020/21,95200
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2021/22,94801
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2022/23,94040
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2023/24,93690
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2024/25,93326
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2025/26,93028
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2026/27,92963
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2027/28,93266
Cattle inventory,Beef,Livestock/Dairy,Thousand head,Calendar year,2028/29,91018
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2017/18,26187
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2018/19,26944
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2019/20,27910
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2020/21,28523.52125
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2021/22,28548.24896
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2022/23,28574.90076
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2023/24,28800.16922
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2024/25,29033.19029
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2025/26,29208.43881
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2026/27,29391.89974
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2027/28,29519.66811
Commercial production,Beef,Livestock/Dairy,Million pounds,Calendar year,2028/29,29638.31089
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2017/18,649
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2018/19,685
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2019/20,690
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2020/21,625
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2021/22,625
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2022/23,625
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2023/24,625
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2024/25,625
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2025/26,625
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2026/27,625
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2027/28,625
Ending stocks,Beef,Livestock/Dairy,Million pounds,Calendar year,2028/29,625
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2017/18,2860
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2018/19,3164
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2019/20,3245
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2020/21,3283
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2021/22,3342
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2022/23,3322
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2023/24,3329
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2024/25,3323
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2025/26,3354
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2026/27,3364
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2027/28,3385
Exports,Beef,Livestock/Dairy,Million pounds,Calendar year,2028/29,3410
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2017/18,145.08
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2018/19,148.2
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2019/20,146.5
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2020/21,142.54
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2021/22,134.11
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2022/23,128.15
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2023/24,124.39
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2024/25,121.62
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2025/26,121.28
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2026/27,120.15
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2027/28,121.18
"Feeder steers, Okla. City",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2028/29,121.15
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2017/18,2993
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2018/19,3027
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2019/20,3100
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2020/21,3113
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2021/22,3169
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2022/23,3150
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2023/24,3157
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2024/25,3151
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2025/26,3181
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2026/27,3190
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2027/28,3210
Imports,Beef,Livestock/Dairy,Million pounds,Calendar year,2028/29,3220
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2017/18,63
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2018/19,63
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2019/20,63
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2020/21,63
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2021/22,63
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2022/23,63
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2023/24,63
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2024/25,63
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2025/26,63
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2026/27,63
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2027/28,63
"Production, farm",Beef,Livestock/Dairy,Million pounds,Calendar year,2028/29,63
"Steers, 5-area, all grades",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2017/18,121.52
"Steers, 5-area, all grades",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2018/19,116.29
"Steers, 5-area, all grades",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2019/20,117.75
"Steers, 5-area, all grades",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2020/21,114.11
"Steers, 5-area, all grades",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2021/22,110.98
"Steers, 5-area, all grades",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2022/23,109.43
"Steers, 5-area, all grades",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2023/24,107.86
"Steers, 5-area, all grades",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2024/25,105.41
"Steers, 5-area, all grades",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2025/26,102.61
"Steers, 5-area, all grades",Beef,Livestock/Dairy,Dollars per cwt.,Calendar year,2026/27,101.06
