,Commodity,CommodityType,YearType,Year,Beginning stocks,Domestic,Ending stocks,Exports,Farm price,Feed & residual,"Food, seed, & industrial",Harvested acres,Imports,Loan rate,Planted acres,Production,Returns over variable costs (net returns),"Stocks/use ratio, percent",Supply total,Total use/disposition,Variable cost of production (per acre),Variable cost of production (per bushel),Yield/harvested acre,"Beef cattle, farm",Beef cow inventory,"Calves, farm",Cattle inventory,Commercial production,"Feeder steers, Okla. City","Production, farm","Steers, 5-area, all grades",Total cow inventory,Total disappearance,Total production,"Broilers, farm",Disappearance,Federally inspected slaughter,National composite price,Ethanol for fuel,Commercial use: Milkfat basis,Commercial use: Skim solids,Milk per cow,Milk production,Number of cows,Prices: All milk,"Eggs, farm",Hatching use,"New York, Grade A large",Per capita,Retail weight: Broilers,Retail weight: Lamb & mutton,Retail weight: Other chicken,Retail weight: Red meat & poultry,Retail weight: Total beef,Retail weight: Total pork,Retail weight: Total poultry,Retail weight: Total red meat,Retail weight: Total veal,Retail weight: Turkeys,"Hog, inventory Dec.1, previous year","Hogs, farm","National base, live eqv","Milling rate, percent",Variable cost of production (per cwt.),Crushing yields,Prices,Total demand,"Soybean oil, for methyl ester",Crush,Crush margin,Seed & residual,"Hen turkeys, National","Turkey, farm",Variable cost of production (per pound),Food,Seed
10,Barley,Crops,Market year,2027/28,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Barley,Crops,Market year,2028/29,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Beef,Livestock/Dairy,Calendar year,2017/18,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Beef,Livestock/Dairy,Calendar year,2018/19,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Beef,Livestock/Dairy,Calendar year,2019/20,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Beef,Livestock/Dairy,Calendar year,2020/21,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Beef,Livestock/Dairy,Calendar year,2021/22,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Beef,Livestock/Dairy,Calendar year,2022/23,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Beef,Livestock/Dairy,Calendar year,2023/24,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Beef,Livestock/Dairy,Calendar year,2024/25,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Beef,Livestock/Dairy,Calendar year,2025/26,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Beef,Livestock/Dairy,Calendar year,2026/27,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Beef,Livestock/Dairy,Calendar year,2027/28,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Beef,Livestock/Dairy,Calendar year,2028/29,Million pounds,,Million pounds,Million pounds,,,,,Million pounds,,,,,,Million pounds,,,,,Dollars per cwt.,Thousand head,Dollars per cwt.,Thousand head,Million pounds,Dollars per cwt.,Million pounds,Dollars per cwt.,Thousand head,Million pounds,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chicken,Livestock/Dairy,Calendar year,2017/18,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Chicken,Livestock/Dairy,Calendar year,2018/19,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Chicken,Livestock/Dairy,Calendar year,2019/20,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Chicken,Livestock/Dairy,Calendar year,2020/21,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Chicken,Livestock/Dairy,Calendar year,2021/22,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Chicken,Livestock/Dairy,Calendar year,2022/23,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Chicken,Livestock/Dairy,Calendar year,2023/24,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Chicken,Livestock/Dairy,Calendar year,2024/25,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Chicken,Livestock/Dairy,Calendar year,2025/26,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Chicken,Livestock/Dairy,Calendar year,2026/27,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Chicken,Livestock/Dairy,Calendar year,2027/28,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Chicken,Livestock/Dairy,Calendar year,2028/29,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,Cents per pound,Million pounds,Million pounds,Cents per pound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Corn,Crops,Market year,2017/18,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Corn,Crops,Market year,2018/19,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Corn,Crops,Market year,2019/20,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Corn,Crops,Market year,2020/21,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Corn,Crops,Market year,2021/22,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Corn,Crops,Market year,2022/23,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Corn,Crops,Market year,2023/24,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Corn,Crops,Market year,2024/25,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Corn,Crops,Market year,2025/26,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Corn,Crops,Market year,2026/27,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Corn,Crops,Market year,2027/28,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Corn,Crops,Market year,2028/29,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,Million bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Dairy,Livestock/Dairy,Market year,2017/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Dairy,Livestock/Dairy,Market year,2018/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Dairy,Livestock/Dairy,Market year,2019/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Dairy,Livestock/Dairy,Market year,2020/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Dairy,Livestock/Dairy,Market year,2021/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Dairy,Livestock/Dairy,Market year,2022/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Dairy,Livestock/Dairy,Market year,2023/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Dairy,Livestock/Dairy,Market year,2024/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Dairy,Livestock/Dairy,Market year,2025/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Dairy,Livestock/Dairy,Market year,2026/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Dairy,Livestock/Dairy,Market year,2027/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Dairy,Livestock/Dairy,Market year,2028/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billion pounds,Billion pounds,Pounds,Billion pounds,Thousand,Dollars per cwt.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Egg,Livestock/Dairy,Calendar year,2017/18,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Egg,Livestock/Dairy,Calendar year,2018/19,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Egg,Livestock/Dairy,Calendar year,2019/20,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Egg,Livestock/Dairy,Calendar year,2020/21,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Egg,Livestock/Dairy,Calendar year,2021/22,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Egg,Livestock/Dairy,Calendar year,2022/23,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Egg,Livestock/Dairy,Calendar year,2023/24,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Egg,Livestock/Dairy,Calendar year,2024/25,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Egg,Livestock/Dairy,Calendar year,2025/26,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Egg,Livestock/Dairy,Calendar year,2026/27,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Egg,Livestock/Dairy,Calendar year,2027/28,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Egg,Livestock/Dairy,Calendar year,2028/29,Million dozen,,Million dozen,Million dozen,,,,,Million dozen,,,Million dozen,,,Million dozen,,,,,,,,,,,,,,,,,Million dozen,,,,,,,,,,Cents per dozen,Million dozen,Cents per dozen,Number per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Oats,Crops,Market year,2017/18,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Oats,Crops,Market year,2018/19,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,Million bushels,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
